combination,c1,c2,c3,ECL1,ECL2,ECL3,ECL4,ECL5,ECL6,ECL7,ECL8,ECL9,ECL10,ECL11,ECL12,ECL13
389,100,47,1.4,0,0,0.0091,0,0.0095,0,0,0.052,0.2961,0.1642,0.286,0.444,0.0409
390,200,47,1.4,0,0,0,0,0.0078,0,0.0006,0.0565,0.3211,0.1571,0.1935,0.3071,0.0114
391,400,47,1.4,0,0,0,0,0,0,0,0.0551,0.3619,0.1264,0.0288,0.2416,0
392,800,47,1.4,0,0,0,0,0,0,0,0.0687,0.2829,0.0696,0.0259,0.1459,0
393,0,94,1.4,0,0,0,0,0,0,0,0,0.093,0.0501,0.1444,0.438,0.043
394,25,94,1.4,0,0,0,0,0,0,0,0,0.0941,0.0491,0.1306,0.4351,0.0404
395,50,94,1.4,0,0,0,0,0,0,0,0,0.1009,0.0467,0.1538,0.4277,0.0289
396,100,94,1.4,0,0,0,0,0,0,0,0.0047,0.1133,0.0397,0.1476,0.3738,0.0164
397,200,94,1.4,0,0,0,0,0,0,0,0.0055,0.131,0.0366,0.1196,0.2943,0
398,400,94,1.4,0,0,0,0,0,0,0,0.0115,0.1324,0.0334,0.0576,0.2379,0
399,800,94,1.4,0,0,0,0,0,0,0,0.0395,0.0893,0.0171,0.0495,0.1448,0
400,0,188,1.4,0,0,0,0,0,0,0,0,0.0836,0.0316,0.0045,0.4152,0.0342
401,25,188,1.4,0,0,0,0,0,0,0,0,0.0809,0.0226,0.0032,0.4176,0.0373
402,50,188,1.4,0,0,0,0,0,0,0,0,0.082,0.0222,0.0076,0.4129,0.0226
403,100,188,1.4,0,0,0,0,0,0,0,0,0.0853,0.0191,0.0125,0.3745,0.0129
404,200,188,1.4,0,0,0,0,0,0,0,0,0.0821,0.0165,0.0108,0.2873,0
405,400,188,1.4,0,0,0,0,0,0,0,0,0.072,0.0175,0,0.2323,0
406,800,188,1.4,0,0,0,0,0,0,0,0.024,0.0396,0.0026,0,0.1359,0
407,0,376,1.4,0,0,0,0,0,0,0,0,0.0585,0.0154,0,0.4091,0.0391
408,25,376,1.4,0,0,0,0,0,0,0,0,0.0492,0.0129,0,0.4153,0.0398
409,50,376,1.4,0,0,0,0,0,0,0,0,0.055,0.0193,0,0.4107,0.035
410,100,376,1.4,0,0,0,0,0,0,0,0,0.0569,0.02,0,0.3724,0.014
411,200,376,1.4,0,0,0,0,0,0,0,0,0.0687,0.0206,0,0.2746,0
412,400,376,1.4,0,0,0,0,0,0,0,0,0.0645,0.0094,0,0.2256,0
413,800,376,1.4,0,0,0,0,0,0,0,0.0012,0.0321,0.0006,0,0.1432,0
414,0,752,1.4,0.0099,0.0098,0.0131,0,0,0,0,0.0254,0.1012,0.0817,0.0517,0.4539,0.1331
415,25,752,1.4,0.0107,0.0083,0.0141,0,0.0013,0,0,0.0242,0.0941,0.0801,0.0481,0.4567,0.1397
416,50,752,1.4,0.0091,0.0073,0.0081,0,0,0,0,0.0226,0.094,0.0826,0.0432,0.4525,0.1286
417,100,752,1.4,0.0078,0.0034,0.0088,0,0,0,0,0.029,0.0997,0.0879,0.0419,0.4208,0.1234
418,200,752,1.4,0.0111,0.0019,0.0068,0,0,0,0,0.034,0.1058,0.0827,0.0409,0.3284,0.0934
419,400,752,1.4,0.0139,0.0005,0.0054,0,0.0007,0,0,0.032,0.1032,0.0754,0.0431,0.2843,0.0698
420,800,752,1.4,0.0115,1E-04,0,0,0.0007,0,0,0.0203,0.0558,0.0398,0.0221,0.1843,0.0378
421,0,0,2.8,0.0537,0,0.4702,0,1,0.0175,0,0.0973,0.419,0.5269,0.0533,0.631,0
422,25,0,2.8,0.057,0,0.4304,0,0.9789,0.0035,0,0.0946,0.3862,0.5216,0.0537,0.5588,0
423,50,0,2.8,0.0441,0,0.3271,0,0.9012,0,0,0.0921,0.3427,0.5419,0.0735,0.441,0
424,100,0,2.8,0.0212,0,0.0932,0,0.6208,0.0072,0,0.075,0.2417,0.5158,0.0649,0.1857,0
425,200,0,2.8,0.0373,0,0,0,0.2356,0.1849,0,0.0848,0.2398,0.5118,0.0152,0.0122,0
426,400,0,2.8,0.0798,0,0,0,0.2178,0.3843,0,0.1825,0.6763,0.4616,0,0,0
427,800,0,2.8,0.112,0,0,0,0.1682,0.3948,0,0.1584,0.7653,0.3322,0.0298,0,0
